20230405	07:27:49	{uuid()	/new-page	GET}
20230405	07:27:49	{uuid()	/css/style.css	GET}
20230405	07:27:49	{uuid()	/img/img1.jpg	GET}
20230405	07:27:50	{uuid()	/favicon.ico	GET}
20230405	07:27:56	{uuid()	/index	GET}
20230405	07:27:56	{uuid()	/css/style.css	GET}
20230405	07:28:10	{uuid()	/data/data.txt	GET}
20230405	07:29:57	{uuid()	/data/data.txt	GET}
20230405	07:30:10	{uuid()	/data/data.json	GET}
20230405	07:30:38	{uuid()	/new-page	GET}
20230405	07:30:38	{uuid()	/css/style.css	GET}
20230405	07:30:38	{uuid()	/img/img1.jpg	GET}
20230408	09:45:45	{uuid()	GET	undefined	/}
20230408	09:45:45	{uuid()	GET	undefined	/css/style.css}
20230408	09:49:24	{uuid()	GET	undefined	/}
20230408	09:49:24	{uuid()	GET	undefined	/css/style.css}
20230408	10:08:16	{uuid()	GET	undefined	/}
20230408	10:08:16	{uuid()	GET	undefined	/css/style.css}
20230408	10:11:31	{uuid()	OPTIONS	https://www.google.com	/}
20230408	10:11:31	{uuid()	GET	https://www.google.com	/}
20230408	10:20:52	{uuid()	OPTIONS	https://www.google.com	/}
20230408	10:20:52	{uuid()	GET	https://www.google.com	/}
20230408	11:42:16	{uuid()	GET	undefined	/css/style.css}
20230408	11:53:37	{uuid()	OPTIONS	https://www.google.com	/}
20230408	11:53:37	{uuid()	GET	https://www.google.com	/}
20230408	11:54:23	{uuid()	OPTIONS	https://www.google.com	/}
20230408	11:54:23	{uuid()	GET	https://www.google.com	/}
20230408	11:59:48	{uuid()	OPTIONS	https://www.google.com	/}
20230408	11:59:48	{uuid()	GET	https://www.google.com	/}
20230410	06:44:53	{uuid()	OPTIONS	https://ogs.google.com	/}
20230410	06:44:53	{uuid()	GET	https://ogs.google.com	/}
20230410	06:54:07	{uuid()	OPTIONS	https://www.google.com	/}
20230410	06:54:07	{uuid()	GET	https://www.google.com	/}
20230410	07:02:34	{uuid()	GET	undefined	/}
20230410	07:02:34	{uuid()	GET	undefined	/css/style.css}
20230410	07:02:35	{uuid()	GET	undefined	/favicon.ico}
20230410	07:08:04	{uuid()	GET	undefined	/}
20230410	07:08:04	{uuid()	GET	undefined	/css/style.css}
